HUC6 Basin,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 8, 2025 (af) "
,,,,,
,,,,,
Rio Grande Headwaters,Rio Grande Headwaters,3.1 ,4.3 ,"314,585 ","-145,676 "
,Alamosa-Trinchera,0.0 ,0.3 ,"39,771 ","-56,637 "
,San Luis,0.0 ,0.3 ,"27,133 ","-26,205 "
,Saguache,0.0 ,0.6 ,"39,835 ","-60,879 "
,Conejos,0.0 ,2.6 ,"107,129 ","-54,062 "
,Total,0.0 ,1.3 ,"528,453 ","-343,459 "
Upper Rio Grande,Upper Rio Grande,0.0 ,0.3 ,"48,057 ","-47,846 "
,Rio Chama,0.0 ,0.5 ,"85,393 ","-79,230 "
,Total,0.0 ,0.4 ,"133,450 ","-127,076 "
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,0.0 ,0.0 ,25 ,"-4,097 "
,Jemez,0.0 ,0.0 ,105 ,"-13,978 "
,Rio Grande-Albuquerque,0.0 ,0.0 ,0 ,"-7,187 "
,Arroyo Chico,0.0 ,0.0 ,0 ,"-2,152 "
,North Plains,0.0 ,0.0 ,0 ,-142 
,Rio San Jose,0.0 ,0.0 ,0 ,"-5,499 "
,Plains of San Agustin,0.0 ,0.0 ,0 ,-24 
,Rio Salado,0.0 ,0.0 ,0 ,-218 
,Jornada Del Muerto,0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,0.0 ,0.0 ,0 ,-931 
,Rio Puerco,0.0 ,0.0 ,2 ,"-5,886 "
,Total,0.0 ,0.0 ,131 ,"-40,115 "
